lon,lat,w_median,w_lb68,w_ub68,w_lb95,w_ub95
53.5,27.5,1.167134,1.1087773,1.2254907,1.0504206,1.2838474
45.5,50.5,1.167344,1.1089768,1.2257112,1.0506096,1.2840784
116.5,29.5,1.171164,1.1126058,1.2297222,1.0540476,1.2882804
31.5,0.5,1.174218,1.1155071,1.2329289,1.0567962,1.2916398
38.5,11.5,1.176734,1.1178973,1.2355707,1.0590606,1.2944074
-81.5,44.5,1.18032,1.121304,1.239336,1.062288,1.298352
58.5,52.5,1.185037,1.12578515,1.24428885,1.0665333,1.3035407
94.5,21.5,1.1948,1.13506,1.25454,1.07532,1.31428
23.5,12.5,1.198308,1.1383926,1.2582234,1.0784772,1.3181388
90.5,32.5,1.205388,1.1451186,1.2656574,1.0848492,1.3259268
114.5,24.5,1.209466,1.1489927,1.2699393,1.0885194,1.3304126
88.5,30.5,1.212726,1.1520897,1.2733623,1.0914534,1.3339986
52.5,30.5,1.216945,1.15609775,1.27779225,1.0952505,1.3386395
-105.5,26.5,1.219532,1.1585554,1.2805086,1.0975788,1.3414852
43.5,2.5,1.22095,1.1599025,1.2819975,1.098855,1.343045
-102.5,23.5,1.226341,1.16502395,1.28765805,1.1037069,1.3489751
85.5,20.5,1.233509,1.17183355,1.29518445,1.1101581,1.3568599
95.5,24.5,1.234308,1.1725926,1.2960234,1.1108772,1.3577388
38.5,0.5,1.240141,1.17813395,1.30214805,1.1161269,1.3641551
113.5,45.5,1.247988,1.1855886,1.3103874,1.1231892,1.3727868
-75.5,-12.5,1.26239,1.1992705,1.3255095,1.136151,1.388629
85.5,35.5,1.266143,1.20283585,1.32945015,1.1395287,1.3927573
25.5,-11.5,1.2688,1.20536,1.33224,1.14192,1.39568
-105.5,37.5,1.271621,1.20803995,1.33520205,1.1444589,1.3987831
-92.5,35.5,1.272956,1.2093082,1.3366038,1.1456604,1.4002516
-100.5,45.5,1.284759,1.22052105,1.34899695,1.1562831,1.4132349
118.5,26.5,1.285059,1.22080605,1.34931195,1.1565531,1.4135649
18.5,-21.5,1.285341,1.22107395,1.34960805,1.1568069,1.4138751
3.5,10.5,1.286674,1.2223403,1.3510077,1.1580066,1.4153414
31.5,53.5,1.292079,1.22747505,1.35668295,1.1628711,1.4212869
